antenna_id,longitude,latitude,district
1,30.0961040726,-1.93165995865,Kigali
3,30.1221763495,-1.99726023022,Kigali
4,30.070380723,-1.95181811321,Kigali
5,30.0623905641,-1.91888131156,Kigali
6,30.1593900226,-2.01714449483,Kigali
7,30.1140963132,-1.87373108954,Kigali
8,29.7641244603,-2.61986732194,Huye
9,28.9364170695,-2.40872616642,Rusizi
11,29.7051107256,-2.06577308741,Muhanga
12,29.8074728063,-2.32951646567,Nyanza
13,30.1421411375,-1.66760097415,Gicumbi
14,30.4158533041,-1.88972036256,Rwamagana
15,29.4067837318,-2.13816316311,Karongi
16,29.5679367796,-1.46808600311,Musanze
17,29.488120475,-2.51821610473,Nyamagabe
18,30.0281130173,-2.00681930276,Kigali
19,30.0990016581,-1.98050574486,Kigali
20,28.9190963001,-2.40771039821,Rusizi
21,30.0759460965,-1.96312816552,Kigali
22,30.1308589021,-2.03180552084,Kigali
23,30.0912735702,-1.86870100824,Kigali
24,30.011507846,-1.92968049682,Kigali
25,30.1733829103,-1.91497194542,Kigali
26,30.1422878779,-1.94738139382,Kigali
27,30.1168721657,-1.98619098702,Kigali
28,30.0782711217,-2.00636755903,Kigali
29,30.0291354761,-1.89169263818,Kigali
30,29.5873352353,-1.53804280741,Musanze
31,30.0345141267,-1.94244630576,Kigali
32,30.1385481568,-1.89655249292,Kigali
33,30.198720017,-1.95982695182,Kigali
34,29.736851398,-2.66948013033,Huye
35,30.2546823609,-1.23414804914,Nyagatare
36,30.5790119603,-2.17729296746,Ngoma
37,29.2762469522,-1.64354114674,Rubavu
40,30.7237190397,-1.914953395,Kayonza
41,30.3704545198,-1.14860758483,Nyagatare
44,29.2447420166,-1.68475422907,Rubavu
45,29.3570566458,-1.6335527469,Rubavu
46,28.9353838018,-2.43722679681,Rusizi
47,29.110623451,-2.49909012458,Nyamasheke
48,30.1456086666,-2.2335682976,Bugesera
49,30.4884699236,-1.90803142626,Kayonza
50,30.3202458191,-1.27991819914,Nyagatare
54,30.1573898188,-1.96644790565,Kigali
55,29.9874013869,-1.87332743809,Kigali
58,29.3605013568,-2.06237821988,Karongi
59,29.4828481926,-1.62595540025,Nyabihu
60,29.7492202296,-2.56699402173,Huye
62,30.0261438837,-1.91621894226,Kigali
63,29.3168425158,-1.63787315901,Rubavu
64,30.1576953134,-2.02831892536,Kigali
65,29.8562296598,-2.17023488919,Ruhango
67,30.5354686522,-1.90577321852,Kayonza
68,29.8007613891,-2.59541985652,Gisagara
69,30.3433964017,-1.58627635619,Gatsibo
70,30.1145824099,-1.96846910339,Kigali
71,29.9387183511,-1.61246696223,Rulindo
72,29.8121474918,-2.43684532467,Huye
73,30.3700834147,-2.03199942419,Rwamagana
74,29.0869015794,-2.46506985603,Nyamasheke
75,29.7239926589,-2.03367370301,Muhanga
76,29.8087880782,-2.16463149493,Ruhango
77,29.8392889907,-1.9656245402,Kamonyi
78,30.2083144759,-2.19837482557,Bugesera
80,29.0043943056,-2.42205801831,Nyamasheke
81,30.5354534587,-2.00925011526,Kayonza
82,29.8841665425,-2.56065085343,Gisagara
83,30.1636512779,-1.92420868631,Kigali
85,30.0103435607,-1.9172462239,Kigali
86,30.1963047243,-1.95140961893,Kigali
88,30.1394906135,-2.01496967526,Kigali
89,29.6234082817,-1.53252373227,Musanze
90,30.7658154444,-2.36558703894,Kirehe
91,30.0429970637,-1.47734025512,Gicumbi
92,29.7217475519,-2.15726280774,Ruhango
93,30.7240021902,-2.14965573338,Kirehe
95,30.4185525564,-1.81789957317,Gatsibo
96,30.2163788003,-1.33483087785,Nyagatare
97,29.746469938,-2.5887422352,Huye
98,29.5631810121,-1.80317391923,Ngororero
99,29.7075187925,-1.42360291008,Burera
100,30.01446234,-1.87464074337,Kigali
101,30.0376033854,-1.91204018726,Kigali
102,30.099455754,-2.00132633688,Kigali
103,30.0581626978,-1.98189591893,Kigali
104,30.0827621457,-1.98941639293,Kigali
105,30.163351593,-1.86527147537,Kigali
106,30.3352743265,-1.92280111952,Rwamagana
107,29.9080481809,-1.61958957637,Rulindo
108,30.1094475643,-2.02024139975,Kigali
109,30.019652806,-1.93446542797,Kigali
110,30.1777561543,-1.96415883333,Kigali
111,30.0487132596,-1.98607669663,Kigali
112,30.0504511249,-1.97338079569,Kigali
113,30.0254736851,-2.04055475045,Kigali
115,30.4601828604,-1.86656323674,Rwamagana
116,30.0860276461,-1.95517823247,Kigali
117,30.0452531646,-1.89554392648,Kigali
118,30.1252483933,-1.98940663947,Kigali
119,30.1282645571,-1.90013065343,Kigali
120,30.0950947836,-2.00009289603,Kigali
121,30.0720369185,-1.8823836462,Kigali
122,30.3482725819,-1.63079914824,Gatsibo
123,29.639334591,-2.73743373953,Nyaruguru
124,30.1313882524,-1.49792357923,Gicumbi
125,29.128110835,-2.34636438935,Nyamasheke
126,29.3332642921,-1.71173374644,Rubavu
127,29.7083264119,-1.55872430991,Musanze
128,29.6996405345,-2.56223118189,Huye
129,30.5178500622,-2.19820550331,Ngoma
130,30.0755839799,-1.95623764098,Kigali
131,30.0167327277,-1.94043734369,Kigali
132,30.1381714106,-1.97440648915,Kigali
133,30.1376857705,-1.89657906183,Kigali
134,30.1249272188,-1.96972082763,Kigali
135,30.1018973124,-1.94022941878,Kigali
136,30.1629136546,-2.01058983444,Kigali
137,30.0133699857,-1.94109107145,Kigali
138,30.3684262824,-2.2370877739,Ngoma
139,30.1277931199,-1.52096991185,Gicumbi
140,29.8541350114,-1.61689839818,Gakenke
141,29.8181890887,-1.46504915734,Burera
142,29.4133123938,-2.55187830819,Nyamagabe
143,30.2123785959,-1.94290927109,Kigali
144,30.0401069954,-1.93423795468,Kigali
145,30.1284654747,-1.87315241601,Kigali
147,29.6869485556,-1.8871105976,Muhanga
148,30.1035340488,-1.89192221996,Kigali
150,29.7322743184,-1.59314593819,Gakenke
151,29.9861364994,-1.91724516911,Kigali
152,30.0743790941,-1.92014460771,Kigali
153,30.1432150838,-1.89517217682,Kigali
154,30.0293290922,-1.91422822692,Kigali
155,30.1894356794,-1.89746193393,Kigali
156,30.0630458503,-2.04332124734,Kigali
157,30.0319777902,-2.34568108744,Bugesera
158,30.1737130825,-2.21348451602,Bugesera
159,30.3528716167,-1.35028989658,Nyagatare
160,30.7034610312,-2.3455999028,Kirehe
161,30.4844015785,-1.60252784298,Gatsibo
162,29.7615909008,-2.04718960739,Muhanga
163,29.583328588,-2.19733674538,Karongi
164,29.6572664038,-1.53865727383,Musanze
165,29.3347749213,-1.72059018075,Rubavu
166,28.9449558645,-2.51104891268,Rusizi
167,29.5922065548,-2.50610396626,Nyamagabe
168,29.7396776884,-2.59547104771,Huye
169,29.7139520093,-2.58550095948,Huye
170,29.1776759629,-2.38416326711,Nyamasheke
171,29.1269794191,-2.60207000823,Rusizi
172,29.2547053744,-2.31621554937,Nyamasheke
173,29.3420838423,-2.44559194808,Nyamagabe
174,30.1361446287,-1.88978748201,Kigali
175,30.0865959207,-1.90447611335,Kigali
176,30.1230536378,-1.90144589409,Kigali
177,30.1224215229,-1.87589141024,Kigali
178,30.0193393625,-1.76105562945,Rulindo
179,30.067754119,-1.49332386218,Gicumbi
180,30.2462373206,-1.95608358715,Rwamagana
181,29.9058539768,-2.36287268206,Nyanza
182,29.443407247,-2.7884525706,Nyaruguru
183,29.5458082175,-2.2312480644,Nyamagabe
184,28.9496867849,-2.60503318583,Rusizi
185,28.9131480694,-2.64416937744,Rusizi
186,29.9806436387,-1.7206486537,Rulindo
187,29.2778663598,-1.94059152714,Rutsiro
188,29.4604575536,-1.52272151782,Nyabihu
189,29.930900321,-1.59875924013,Rulindo
190,29.5324570773,-1.59991081108,Nyabihu
191,29.4426536642,-2.0061787899,Rutsiro
192,29.3736170362,-2.48347518071,Nyamagabe
193,29.2612510268,-2.27934773075,Nyamasheke
194,30.2398672997,-1.85624836533,Kigali
195,30.3197274103,-1.77874690985,Gatsibo
196,30.1865492419,-1.59317866672,Gatsibo
197,30.6369358591,-2.00435569687,Kayonza
198,30.3077666531,-1.18925373072,Nyagatare
199,30.3414099271,-1.38077424768,Nyagatare
200,30.0862045182,-1.88593693015,Kigali
201,30.0333982222,-1.89640994491,Kigali
202,30.0869210157,-1.87531249908,Kigali
203,30.1946315365,-1.89910211692,Kigali
204,30.0311830684,-1.87500666714,Kigali
205,30.0411527427,-2.02809864836,Kigali
206,30.0242604129,-2.03517668657,Kigali
208,29.9948672673,-1.92290182509,Kigali
209,30.1518601459,-1.92633461557,Kigali
210,30.1955475964,-1.9053997392,Kigali
211,30.0326023171,-1.93335645469,Kigali
212,30.1550648751,-1.9397306355,Kigali
213,30.1613946006,-1.94041688752,Kigali
214,30.0793679733,-2.01248539181,Kigali
215,30.084846136,-2.04992758799,Kigali
217,30.0969375262,-1.92918329316,Kigali
218,29.5296028051,-1.46984232976,Musanze
219,29.7289136265,-1.49844230015,Musanze
220,29.5744178825,-1.52696562594,Musanze
221,30.115535345,-1.52559533378,Gicumbi
224,29.6887793767,-1.44182449981,Burera
225,30.1182013494,-1.74998148391,Gicumbi
226,29.9759832287,-1.91414892768,Kamonyi
227,29.8997138168,-1.90628314596,Kamonyi
228,29.7570077697,-2.2600550695,Ruhango
229,29.8413768356,-2.26498922509,Ruhango
230,29.830535406,-2.2599169513,Ruhango
231,29.8282901649,-2.62693734614,Gisagara
232,29.6097314309,-2.37453829885,Nyamagabe
233,29.5785983635,-1.97457803258,Ngororero
234,29.6106743871,-1.75792222417,Ngororero
235,29.9101830225,-2.07238037456,Kamonyi
236,29.3088661582,-2.05918365612,Karongi
237,28.901526951,-2.39148675162,Rusizi
238,29.5351583981,-2.50796348065,Nyamagabe
240,29.0195853052,-2.36974102409,Nyamasheke
241,29.0915740476,-2.37420600422,Nyamasheke
242,29.0929382819,-2.46757845551,Nyamasheke
243,29.531198099,-1.74408855905,Nyabihu
244,29.1723596396,-2.58600086286,Rusizi
245,28.8951108161,-2.39907534842,Rusizi
246,28.9942697216,-2.61442311576,Rusizi
247,29.6782016123,-1.9284238875,Muhanga
248,30.0626005578,-1.92730581426,Kigali
249,30.1655495335,-1.89801417903,Kigali
250,30.0870007534,-1.90606220767,Kigali
251,30.14924711,-2.01608455007,Kigali
252,30.2406700595,-2.2813696612,Bugesera
253,29.5843544204,-1.9890498069,Ngororero
254,29.7561756134,-2.6022548825,Huye
256,29.8190182726,-1.91947934369,Kamonyi
257,29.1915698811,-2.31265819074,Nyamasheke
258,29.4400443264,-1.97731698631,Rutsiro
259,30.1419931807,-2.25538527711,Bugesera
260,30.2082338954,-2.18621581102,Bugesera
261,30.2701362544,-2.0200425152,Rwamagana
262,30.6766306709,-2.04706447213,Kayonza
263,29.781023457,-2.33522606843,Nyanza
264,29.3749669948,-2.79196015051,Nyaruguru
265,28.9268114886,-2.43514647959,Rusizi
266,28.9935781103,-2.6567535513,Rusizi
267,29.3525578006,-1.65907660939,Rubavu
268,29.3205523061,-1.7336164135,Rubavu
269,29.705764212,-1.6709682735,Gakenke
270,29.6168560827,-1.42879287089,Musanze
271,30.0697936513,-1.92470664847,Kigali
272,30.2758481495,-1.96834388749,Rwamagana
274,28.9685464239,-2.58950224202,Rusizi
276,30.1966834345,-1.63680335353,Gicumbi
277,30.0801596228,-1.41086950159,Gicumbi
278,30.3646366655,-1.89846777416,Rwamagana
280,30.0927054672,-1.95329387913,Kigali
281,30.1169273983,-2.0264304704,Kigali
282,30.1430104279,-1.95486717839,Kigali
283,30.1004545835,-1.97919857175,Kigali
284,30.3670165662,-1.58003007496,Gatsibo
285,30.3281940725,-2.05007213158,Rwamagana
286,30.5498164162,-1.87908385867,Kayonza
287,30.0926623389,-1.85556455815,Kigali
288,30.4472183329,-1.28111732237,Nyagatare
289,30.1120853602,-2.13083259162,Bugesera
290,30.438364984,-1.71707496022,Gatsibo
291,30.7288348493,-2.10053443262,Kirehe
292,30.5762607546,-1.82296425297,Kayonza
293,30.4595002006,-1.17981994829,Nyagatare
295,29.7223586415,-1.88732253084,Muhanga
297,30.1578816377,-2.09701630625,Bugesera
298,29.3809290268,-2.45166939751,Nyamagabe
